id,name,province_id
18.13,Pesisir Barat,18
18.71,Kota Bandar Lampung,18
18.72,Kota Metro,18
19.01,Bangka,19
19.02,Belitung,19
19.03,Bangka Selatan,19
19.04,Bangka Tengah,19
19.05,Bangka Barat,19
19.06,Belitung Timur,19
19.71,Kota Pangkal Pinang,19
21.01,Bintan,21
21.02,Karimun,21
21.03,Natuna,21
21.04,Lingga,21
21.05,Kepulauan Anambas,21
21.71,Kota Batam,21
21.72,Kota Tanjung Pinang,21
31.01,Kepulauan Seribu,31
31.71,Kota Jakarta Pusat,31
31.72,Kota Jakarta Utara,31
31.73,Kota Jakarta Barat,31
31.74,Kota Jakarta Selatan,31
31.75,Kota Jakarta Timur,31
32.01,Bogor,32
32.02,Sukabumi,32
32.03,Cianjur,32
32.04,Bandung,32
32.05,Garut,32
32.06,Tasikmalaya,32
32.07,Ciamis,32
32.08,Kuningan,32
32.09,Cirebon,32
32.1,Majalengka,32
32.11,Sumedang,32
32.12,Indramayu,32
32.13,Subang,32
32.14,Purwakarta,32
32.15,Karawang,32
32.16,Bekasi,32
32.17,Bandung Barat,32
32.18,Pangandaran,32
32.71,Kota Bogor,32
32.72,Kota Sukabumi,32
32.73,Kota Bandung,32
32.74,Kota Cirebon,32
32.75,Kota Bekasi,32
32.76,Kota Depok,32
32.77,Kota Cimahi,32
32.78,Kota Tasikmalaya,32
32.79,Kota Banjar,32
33.01,Cilacap,33
33.02,Banyumas,33
33.03,Purbalingga,33
33.04,Banjarnegara,33
33.05,Kebumen,33
33.06,Purworejo,33
33.07,Wonosobo,33
33.08,Magelang,33
33.09,Boyolali,33
33.1,Klaten,33
33.11,Sukoharjo,33
33.12,Wonogiri,33
33.13,Karanganyar,33
33.14,Sragen,33
33.15,Grobogan,33
33.16,Blora,33
33.17,Rembang,33
33.18,Pati,33
33.19,Kudus,33
33.2,Jepara,33
33.21,Demak,33
33.22,Semarang,33
33.23,Temanggung,33
33.24,Kendal,33
33.25,Batang,33
33.26,Pekalongan,33
33.27,Pemalang,33
33.28,Tegal,33
33.29,Brebes,33
33.71,Kota Magelang,33
33.72,Kota Surakarta,33
33.73,Kota Salatiga,33
33.74,Kota Semarang,33
33.75,Kota Pekalongan,33
33.76,Kota Tegal,33
34.01,Kulon Progo,34
34.02,Bantul,34
34.03,Gunungkidul,34
34.04,Sleman,34
34.71,Kota Yogyakarta,34
35.01,Pacitan,35
35.02,Ponorogo,35
35.03,Trenggalek,35
35.04,Tulungagung,35
35.05,Blitar,35
35.06,Kediri,35
35.07,Malang,35
35.08,Lumajang,35
35.09,Jember,35
35.1,Banyuwangi,35
35.11,Bondowoso,35
35.12,Situbondo,35
35.13,Probolinggo,35
35.14,Pasuruan,35
35.15,Sidoarjo,35
35.16,Mojokerto,35
35.17,Jombang,35
35.18,Nganjuk,35
35.19,Madiun,35
35.2,Magetan,35
35.21,Ngawi,35
35.22,Bojonegoro,35
35.23,Tuban,35
35.24,Lamongan,35
35.25,Gresik,35
35.26,Bangkalan,35
35.27,Sampang,35
35.28,Pamekasan,35
35.29,Sumenep,35
35.71,Kota Kediri,35
35.72,Kota Blitar,35
35.73,Kota Malang,35
35.74,Kota Probolinggo,35
35.75,Kota Pasuruan,35
35.76,Kota Mojokerto,35
35.77,Kota Madiun,35
35.78,Kota Surabaya,35
35.79,Kota Batu,35
36.01,Pandeglang,36
36.02,Lebak,36
36.03,Tangerang,36
36.04,Serang,36
36.71,Kota Tangerang,36
36.72,Kota Cilegon,36
36.73,Kota Serang,36
36.74,Kota Tangerang Selatan,36
51.01,Jembrana,51
51.02,Tabanan,51
51.03,Badung,51
51.04,Gianyar,51
51.05,Klungkung,51
51.06,Bangli,51
51.07,Karangasem,51
51.08,Buleleng,51
51.71,Kota Denpasar,51
52.01,Lombok Barat,52
52.02,Lombok Tengah,52
52.03,Lombok Timur,52
52.04,Sumbawa,52
52.05,Dompu,52
52.06,Bima,52
52.07,Sumbawa Barat,52
52.08,Lombok Utara,52
52.71,Kota Mataram,52
52.72,Kota Bima,52
53.01,Kupang,53
53.02,Timor Tengah Selatan,53
53.03,Timor Tengah Utara,53
53.04,Belu,53
53.05,Alor,53
53.06,Flores Timur,53
53.07,Sikka,53
53.08,Ende,53
53.09,Ngada,53
53.1,Manggarai,53
53.11,Sumba Timur,53
53.12,Sumba Barat,53
53.13,Lembata,53
53.14,Rote Ndao,53
53.15,Manggarai Barat,53
53.16,Nagekeo,53
53.17,Sumba Tengah,53
53.18,Sumba Barat Daya,53
53.19,Manggarai Timur,53
53.2,Sabu Raijua,53
53.21,Malaka,53
53.71,Kota Kupang,53
61.01,Sambas,61
61.02,Mempawah,61
61.03,Sanggau,61
61.04,Ketapang,61
61.05,Sintang,61
61.06,Kapuas Hulu,61
61.07,Bengkayang,61
61.08,Landak,61
61.09,Sekadau,61
61.1,Melawi,61
61.11,Kayong Utara,61
61.12,Kubu Raya,61
61.71,Kota Pontianak,61
61.72,Kota Singkawang,61
62.01,Kotawaringin Barat,62
62.02,Kotawaringin Timur,62
62.03,Kapuas,62
62.04,Barito Selatan,62
62.05,Barito Utara,62
62.06,Katingan,62
62.07,Seruyan,62
62.08,Sukamara,62
62.09,Lamandau,62
62.1,Gunung Mas,62
62.11,Pulang Pisau,62
62.12,Murung Raya,62
62.13,Barito Timur,62
62.71,Kota Palangkaraya,62
63.01,Tanah Laut,63
63.02,Kotabaru,63
63.03,Banjar,63
63.04,Barito Kuala,63
63.05,Tapin,63
63.06,Hulu Sungai Selatan,63
63.07,Hulu Sungai Tengah,63
63.08,Hulu Sungai Utara,63
63.09,Tabalong,63
63.1,Tanah Bumbu,63
63.11,Balangan,63
63.71,Kota Banjarmasin,63
63.72,Kota Banjarbaru,63
64.01,Paser,64
64.02,Kutai Kartanegara,64
64.03,Berau,64
64.07,Kutai Barat,64
64.08,Kutai Timur,64
64.09,Penajam Paser Utara,64
64.11,Mahakam Ulu,64
64.71,Kota Balikpapan,64
64.72,Kota Samarinda,64
64.74,Kota Bontang,64
65.01,Bulungan,65
65.02,Malinau,65
65.03,Nunukan,65
65.04,Tana Tidung,65
65.71,Kota Tarakan,65
71.01,Bolaang Mongondow,71
71.02,Minahasa,71
71.03,Kepulauan Sangihe,71
71.04,Kepulauan Talaud,71
71.05,Minahasa Selatan,71
71.06,Minahasa Utara,71
71.07,Minahasa Tenggara,71
71.08,Bolaang Mongondow Utara,71
71.09,Kepulauan Siau Tagulandang Biaro (Sitaro),71
71.1,Bolaang Mongondow Timur,71
71.11,Bolaang Mongondow Selatan,71
71.71,Kota Manado,71
71.72,Kota Bitung,71
71.73,Kota Tomohon,71
71.74,Kota Kotamobagu,71
72.01,Banggai,72
72.02,Poso,72
72.03,Donggala,72
72.04,Toli Toli,72
72.05,Buol,72
72.06,Morowali,72
72.07,Banggai Kepulauan,72
72.08,Parigi Moutong,72
72.09,Tojo Una Una,72
72.1,Sigi,72
72.11,Banggai Laut,72
72.12,Morowali Utara,72
72.71,Kota Palu,72
73.01,Kepulauan Selayar,73
73.02,Bulukumba,73
73.03,Bantaeng,73
73.04,Jeneponto,73
73.05,Takalar,73
73.06,Gowa,73
73.07,Sinjai,73
73.08,Bone,73
73.09,Maros,73
73.1,Pangkajene Kepulauan,73
73.11,Barru,73
73.12,Soppeng,73
73.13,Wajo,73
73.14,Sidenreng Rappang,73
73.15,Pinrang,73
73.16,Enrekang,73
73.17,Luwu,73
73.18,Tana Toraja,73
73.22,Luwu Utara,73
73.24,Luwu Timur,73
73.26,Toraja Utara,73
73.71,Kota Makassar,73
73.72,Kota Pare Pare,73
73.73,Kota Palopo,73
74.01,Kolaka,74
74.02,Konawe,74
74.03,Muna,74
74.04,Buton,74
74.05,Konawe Selatan,74
74.06,Bombana,74
74.07,Wakatobi,74
74.08,Kolaka Utara,74
74.09,Konawe Utara,74
74.1,Buton Utara,74
74.11,Kolaka Timur,74
74.12,Konawe Kepulauan,74
74.13,Muna Barat,74
74.14,Buton Tengah,74
74.15,Buton Selatan,74
74.71,Kota Kendari,74
74.72,Kota Bau Bau,74
75.01,Gorontalo,75
75.02,Boalemo,75
75.03,Bone Bolango,75
75.04,Pahuwato,75
75.05,Gorontalo Utara,75
75.71,Kota Gorontalo,75
76.01,Pasangkayu (Mamuju Utara),76
76.02,Mamuju,76
76.03,Mamasa,76
76.04,Polewali Mandar,76
76.05,Majene,76
76.06,Mamuju Tengah,76
81.01,Maluku Tengah,81
81.02,Maluku Tenggara,81
81.03,Kepulauan Tanimbar (Maluku Tenggara Barat),81
81.04,Buru,81
81.05,Seram Bagian Timur,81
81.06,Seram Bagian Barat,81
81.07,Kepulauan Aru,81
81.08,Maluku Barat Daya,81
81.09,Buru Selatan,81
81.71,Kota Ambon,81
81.72,Kota Tual,81
82.01,Halmahera Barat,82
82.02,Halmahera Tengah,82
82.03,Halmahera Utara,82
82.04,Halmahera Selatan,82
82.05,Kepulauan Sula,82
82.06,Halmahera Timur,82
82.07,Pulau Morotai,82
82.08,Pulau Taliabu,82
82.71,Kota Ternate,82
82.72,Kota Tidore Kepulauan,82
91.03,Jayapura,91
91.05,Kepulauan Yapen,91
91.06,Biak Numfor,91
91.1,Sarmi,91
91.11,Keerom,91
91.15,Waropen,91
91.19,Supiori,91
91.2,Mamberamo Raya,91
91.71,Kota Jayapura,91
92.02,Manokwari,92
92.03,Fak Fak,92
92.06,Teluk Bintuni,92
92.07,Teluk Wondama,92
92.08,Kaimana,92
92.11,Manokwari Selatan,92
92.12,Pegunungan Arfak,92
93.01,Merauke,93
93.02,Boven Digoel,93
93.03,Mappi,93
93.04,Asmat,93
94.01,Nabire,94
94.02,Puncak Jaya,94
94.03,Paniai,94
94.04,Mimika,94
94.05,Puncak,94
94.06,Dogiyai,94
94.07,Intan Jaya,94
94.08,Deiyai,94
95.01,Jayawijaya,95
95.02,Pegunungan Bintang,95
95.03,Yahukimo,95
95.04,Tolikara,95
95.05,Mamberamo Tengah,95
95.06,Yalimo,95
95.07,Lanny Jaya,95
95.08,Nduga,95
96.01,Sorong,96
96.04,Sorong Selatan,96
96.05,Raja Ampat,96
96.09,Tambrauw,96
96.1,Maybrat,96
96.71,Kota Sorong,96
